stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2008,4,1,13.5,0.9,7.5
352200375,WARSZAWA,2008,4,2,9.9,2.2,6.1
352200375,WARSZAWA,2008,4,3,10.4,4.9,7.0
352200375,WARSZAWA,2008,4,4,12.5,3.1,7.3
352200375,WARSZAWA,2008,4,5,12.1,4.4,7.6
352200375,WARSZAWA,2008,4,6,9.5,5.9,7.0
352200375,WARSZAWA,2008,4,7,15.5,0.0,8.0
352200375,WARSZAWA,2008,4,8,9.0,2.4,4.3
352200375,WARSZAWA,2008,4,9,15.8,-3.1,8.4
352200375,WARSZAWA,2008,4,10,17.5,8.3,11.5
352200375,WARSZAWA,2008,4,11,16.2,4.8,11.0
352200375,WARSZAWA,2008,4,12,17.4,5.8,9.1
352200375,WARSZAWA,2008,4,13,14.1,5.7,9.0
352200375,WARSZAWA,2008,4,14,19.2,1.2,11.0
352200375,WARSZAWA,2008,4,15,18.5,6.5,12.2
352200375,WARSZAWA,2008,4,16,14.2,7.6,9.9
352200375,WARSZAWA,2008,4,17,9.9,5.3,6.3
352200375,WARSZAWA,2008,4,18,9.2,3.3,6.0
352200375,WARSZAWA,2008,4,19,7.2,1.8,5.6
352200375,WARSZAWA,2008,4,20,9.9,6.8,8.0
352200375,WARSZAWA,2008,4,21,15.0,6.6,9.8
352200375,WARSZAWA,2008,4,22,15.7,3.6,10.4
352200375,WARSZAWA,2008,4,23,14.8,6.9,10.5
352200375,WARSZAWA,2008,4,24,16.9,3.1,10.5
352200375,WARSZAWA,2008,4,25,18.6,1.5,11.7
352200375,WARSZAWA,2008,4,26,19.7,3.2,12.9
352200375,WARSZAWA,2008,4,27,19.4,6.5,13.1
352200375,WARSZAWA,2008,4,28,21.4,5.9,13.8
352200375,WARSZAWA,2008,4,29,15.7,8.2,11.6
352200375,WARSZAWA,2008,4,30,19.0,9.1,13.8
