stacja_kod,stacja_nazwa,rok,miesiac,dzien,t_max,t_min,t_std
352200375,WARSZAWA,2010,5,1,22.0,12.6,14.6
352200375,WARSZAWA,2010,5,2,17.7,10.7,13.5
352200375,WARSZAWA,2010,5,3,17.3,12.1,14.5
352200375,WARSZAWA,2010,5,4,15.2,7.3,9.0
352200375,WARSZAWA,2010,5,5,11.8,6.6,8.8
352200375,WARSZAWA,2010,5,6,12.8,5.9,9.4
352200375,WARSZAWA,2010,5,7,16.8,11.6,13.9
352200375,WARSZAWA,2010,5,8,18.6,10.5,13.8
352200375,WARSZAWA,2010,5,9,15.3,8.3,11.7
352200375,WARSZAWA,2010,5,10,18.4,3.6,12.2
352200375,WARSZAWA,2010,5,11,19.4,8.5,13.9
352200375,WARSZAWA,2010,5,12,22.8,11.7,17.6
352200375,WARSZAWA,2010,5,13,20.4,13.0,16.6
352200375,WARSZAWA,2010,5,14,17.2,11.5,12.4
352200375,WARSZAWA,2010,5,15,13.9,9.3,11.0
352200375,WARSZAWA,2010,5,16,16.0,8.1,12.3
352200375,WARSZAWA,2010,5,17,13.2,8.7,10.3
352200375,WARSZAWA,2010,5,18,13.8,9.2,11.2
352200375,WARSZAWA,2010,5,19,17.6,9.2,13.1
352200375,WARSZAWA,2010,5,20,22.8,11.4,16.6
352200375,WARSZAWA,2010,5,21,23.9,12.5,18.5
352200375,WARSZAWA,2010,5,22,24.0,12.9,18.4
352200375,WARSZAWA,2010,5,23,22.6,12.1,17.5
352200375,WARSZAWA,2010,5,24,19.2,12.9,15.4
352200375,WARSZAWA,2010,5,25,15.7,11.0,12.6
352200375,WARSZAWA,2010,5,26,15.3,6.0,10.7
352200375,WARSZAWA,2010,5,27,18.2,6.2,13.3
352200375,WARSZAWA,2010,5,28,17.2,10.8,13.2
352200375,WARSZAWA,2010,5,29,20.2,10.5,15.4
352200375,WARSZAWA,2010,5,30,21.5,8.0,15.1
352200375,WARSZAWA,2010,5,31,18.5,14.1,15.2
